date,fe,Ne,pX,pY,pZ,avgX,avgY,avgZ,magX,magY,magZ,freqX,freqY,freqZ
03/12/2023 12:11:04,20,128,2.723,0,9.283,0.007,0,1.298,9.944,0.027,48.642,2.03125,10,10
03/12/2023 12:34:27,20,128,2.708,0,9.637,0.021,0,1.551,12.865,0.027,4.045,2.03125,10,10
10/02/2024 09:47:32,20,32,1.964,0,1.422,0.672,0,0.5750000000000001,3.113,0,2.5300000000000002,3.75,0,3.75
